"";"parsed";"ebird"
"4057";"Lagonosticta larvata";"Lagonosticta larvata"
"4058";"Uraeginthus angolensis";"Uraeginthus angolensis"
"4059";"Granatina ianthinogaster";"Granatina ianthinogaster"
"4060";"Granatina granatina";"Granatina granatina"
"4061";"Estrilda perreini";NA
"4062";"Estrilda thomensis";NA
"4063";"Estrilda paludicola";"Estrilda paludicola"
"4064";"Estrilda rhodopyga";"Estrilda rhodopyga"
"4065";"Estrilda rufibarba";"Estrilda rufibarba"
"4066";"Estrilda nigriloris";"Estrilda nigriloris"
"4067";"Estrilda nonnula";"Estrilda nonnula"
"4068";"Estrilda kandti";"Estrilda kandti"
"4069";"Estrilda charmosyna";NA
"4070";"Amandava amandava";"Amandava amandava"
"4071";"Emblema pictum";"Emblema pictum"
"4072";"Stagonopleura bella";"Stagonopleura bella"
"4073";"Stagonopleura oculata";"Stagonopleura oculata"
"4074";"Oreostruthus fuliginosus";"Oreostruthus fuliginosus"
"4075";"Neochmia phaeton";"Neochmia phaeton"
"4076";"Neochmia modesta";NA
"4077";"Taeniopygia bichenovii";NA
"4078";"Poephila personata";"Poephila personata"
"4079";"Poephila acuticauda";"Poephila acuticauda"
"4080";"Poephila cincta";"Poephila cincta"
"4081";"Erythrura prasina";"Erythrura prasina"
"4082";"Erythrura papuana";"Erythrura papuana"
"4083";"Erythrura pealii";"Erythrura pealii"
"4084";"Erythrura kleinschmidti";"Erythrura kleinschmidti"
"4085";"Lepidopygia nana";"Lepidopygia nana"
"4086";"Odontospiza griseicapilla";NA
"4087";"Spermestes cucullata";"Spermestes cucullata"
"4088";"Lonchura striata";"Lonchura striata"
"4089";"Lonchura leucogastroides";"Lonchura leucogastroides"
"4090";"Lonchura fuscans";"Lonchura fuscans"
"4091";"Lonchura punctulata";"Lonchura punctulata"
"4092";"Lonchura leucogastra";"Lonchura leucogastra"
"4093";"Lonchura quinticolor";"Lonchura quinticolor"
"4094";"Lonchura maja";"Lonchura maja"
"4095";"Lonchura grandis";"Lonchura grandis"
"4096";"Lonchura vana";"Lonchura vana"
"4097";"Lonchura nevermanni";"Lonchura nevermanni"
"4098";"Lonchura spectabilis";"Lonchura spectabilis"
"4099";"Lonchura forbesi";"Lonchura forbesi"
"4100";"Lonchura flaviprymna";"Lonchura flaviprymna"
"4101";"Lonchura teerinki";"Lonchura teerinki"
"4102";"Lonchura montana";"Lonchura montana"
"4103";"Lonchura monticola";"Lonchura monticola"
"4104";"Heteromunia pectoralis";"Heteromunia pectoralis"
"4105";"Amadina fasciata";"Amadina fasciata"
"4106";"Amadina erythrocephala";"Amadina erythrocephala"
"4107";"Vidua purpurascens";"Vidua purpurascens"
"4108";"Vidua hypocherina";"Vidua hypocherina"
"4109";"Vidua fischeri";"Vidua fischeri"
"4110";"Vidua regia";"Vidua regia"
"4111";"Spinus thibetanus";"Spinus thibetanus"
"4112";"Serinus nigriceps";"Serinus nigriceps"
"4113";"Crithagra citrinelloides";"Crithagra citrinelloides"
"4114";"Crithagra frontalis";"Crithagra frontalis"
"4115";"Crithagra capistrata";"Crithagra capistrata"
"4116";"Crithagra koliensis";"Crithagra koliensis"
"4117";"Crithagra scotops";"Crithagra scotops"
"4118";"Crithagra leucopygia";"Crithagra leucopygia"
"4119";"Crithagra flavigula";"Crithagra flavigula"
"4120";"Crithagra xanthopygia";"Crithagra xanthopygia"
"4121";"Crithagra reichenowi";"Crithagra reichenowi"
"4122";"Crithagra donaldsoni";"Crithagra donaldsoni"
"4123";"Crithagra buchanani";"Crithagra buchanani"
"4124";"Crithagra dorsostriata";"Crithagra dorsostriata"
"4125";"Crithagra albogularis";"Crithagra albogularis"
"4126";"Crithagra gularis";"Crithagra gularis"
"4127";"Crithagra mennelli";"Crithagra mennelli"
"4128";"Crithagra tristriata";"Crithagra tristriata"
"4129";"Crithagra burtoni";"Crithagra burtoni"
"4130";"Crithagra totta";"Crithagra totta"
"4131";"Crithagra symonsi";"Crithagra symonsi"
"4132";"Serinus alario";"Serinus alario"
"4133";"Chrysocorythus estherae";"Chrysocorythus estherae"
"4134";"Chloris spinoides";"Chloris spinoides"
"4135";"Chloris ambigua";"Chloris ambigua"
"4136";"Spinus pinus";"Spinus pinus"
"4137";"Spinus magellanicus";"Spinus magellanicus"
"4138";"Spinus olivaceus";"Spinus olivaceus"
"4139";"Spinus atratus";"Spinus atratus"
"4140";"Spinus tristis";"Spinus tristis"
"4141";"Spinus lawrencei";"Spinus lawrencei"
"4142";"Spinus dominicensis";"Spinus dominicensis"
"4143";"Linaria yemenensis";"Linaria yemenensis"
"4144";"Agraphospiza rubescens";"Agraphospiza rubescens"
"4145";"Procarduelis nipalensis";"Procarduelis nipalensis"
"4146";"Haemorhous purpureus";"Haemorhous purpureus"
"4147";"Carpodacus waltoni";"Carpodacus waltoni"
"4148";"Carpodacus vinaceus";"Carpodacus vinaceus"
"4149";"Carpodacus synoicus";"Carpodacus synoicus"
"4150";"Carpodacus trifasciatus";"Carpodacus trifasciatus"
"4151";"Carpodacus rodopeplus";"Carpodacus rodopeplus"
"4152";"Carpodacus thura";"Carpodacus thura"
"4153";"Carpodacus roborowskii";"Carpodacus roborowskii"
"4154";"Carpodacus sipahi";"Carpodacus sipahi"
"4155";"Pyrrhula nipalensis";"Pyrrhula nipalensis"
"4156";"Pyrrhula leucogenis";"Pyrrhula leucogenis"
"4157";"Pyrrhula erythrocephala";"Pyrrhula erythrocephala"
"4158";"Eophona migratoria";"Eophona migratoria"
"4159";"Mycerobas icterioides";"Mycerobas icterioides"
"4160";"Mycerobas affinis";"Mycerobas affinis"
"4161";"Mycerobas melanozanthos";"Mycerobas melanozanthos"
"4162";"Pyrrhoplectes epauletta";"Pyrrhoplectes epauletta"
"4163";"Loxioides bailleui";"Loxioides bailleui"
"4164";"Rhodacanthis flaviceps";"Rhodacanthis flaviceps"
"4165";"Rhodacanthis palmeri";"Rhodacanthis palmeri"
"4166";"Pseudonestor xanthophrys";"Pseudonestor xanthophrys"
"4167";"Chlorodrepanis stejnegeri";"Chlorodrepanis stejnegeri"
"4168";"Chlorodrepanis virens";"Chlorodrepanis virens"
"4169";"Magumma parva";"Magumma parva"
"4170";"Viridonia sagittirostris";"Viridonia sagittirostris"
"4171";"Hemignathus wilsoni";"Hemignathus wilsoni"
"4172";"Manucerthia mana";NA
"4173";"Paroreomyza montana";"Paroreomyza montana"
"4174";"Paroreomyza maculata";"Paroreomyza maculata"
"4175";"Loxops coccineus";"Loxops coccineus"
"4176";"Ciridops anna";"Ciridops anna"
"4177";"Drepanis pacifica";"Drepanis pacifica"
"4178";"Drepanis funerea";"Drepanis funerea"
"4179";"Urocynchramus pylzowi";"Urocynchramus pylzowi"
"4180";"Emberiza lathami";"Emberiza lathami"
"4181";"Emberiza cioides";"Emberiza cioides"
"4182";"Emberiza striolata";"Emberiza striolata"
"4183";"Emberiza tahapisi";"Emberiza tahapisi"
"4184";"Emberiza tristrami";"Emberiza tristrami"
"4185";"Emberiza fucata";"Emberiza fucata"
"4186";"Emberiza chrysophrys";"Emberiza chrysophrys"
"4187";"Emberiza rutila";"Emberiza rutila"
"4188";"Emberiza flaviventris";"Emberiza flaviventris"
"4189";"Emberiza poliopleura";"Emberiza poliopleura"
