"";"parsed";"iucn"
"7463";"Gymnomyza aubryana";"Gymnomyza aubryana"
"7464";"Anthochaera phrygia";"Anthochaera phrygia"
"7465";"Oriolia bernieri";"Oriolia bernieri"
"7466";"Bubo shelleyi";"Bubo shelleyi"
"7467";"Nothoprocta taczanowskii";"Nothoprocta taczanowskii"
"7468";"Numenius tenuirostris";"Numenius tenuirostris"
"7469";"Toxostoma lecontei";"Toxostoma lecontei"
"7470";"Horornis haddeni";"Horornis haddeni"
"7471";"Leucocarbo onslowi";"Leucocarbo onslowi"
"7472";"Thalasseus bernsteini";"Thalasseus bernsteini"
"7473";"Eupherusa cyanophrys";"Eupherusa cyanophrys"
"7474";"Ramphastos dicolorus";"Ramphastos dicolorus"
"7475";"Psilopogon duvaucelii";"Psilopogon duvaucelii"
"7476";"Coracopsis vasa";"Coracopsis vasa"
"7477";"Malurus pulcherrimus";"Malurus pulcherrimus"
"7478";"Nothura minor";"Nothura minor"
"7479";"Biatas nigropectus";"Biatas nigropectus"
"7480";"Geositta poeciloptera";"Geositta poeciloptera"
"7481";"Platyrinchus leucoryphus";"Platyrinchus leucoryphus"
"7482";"Sylvietta philippae";"Sylvietta philippae"
"7483";"Onychorhynchus swainsoni";"Onychorhynchus swainsoni"
"7484";"Acrocephalus melanopogon";"Acrocephalus melanopogon"
"7485";"Celeus obrieni";"Celeus obrieni"
"7486";"Garrulax milleti";"Garrulax milleti"
"7487";"Chamaetylas choloensis";"Chamaetylas choloensis"
"7488";"Ptilinopus huttoni";"Ptilinopus huttoni"
"7489";"Phaethornis aethopygus";"Phaethornis aethopygus"
"7490";"Scytalopus novacapitalis";"Scytalopus novacapitalis"
"7491";"Myiodynastes hemichrysus";"Myiodynastes hemichrysus"
"7492";"Belocercus longicaudus";"Belocercus longicaudus"
"7493";"Laterallus levraudi";"Laterallus levraudi"
"7494";"Microspingus cinereus";"Microspingus cinereus"
"7495";"Ptilinopus chrysogaster";"Ptilinopus chrysogaster"
"7496";"Melanerpes erythrocephalus";"Melanerpes erythrocephalus"
"7497";"Prinia molleri";"Prinia molleri"
"7498";"Corythornis thomensis";"Corythornis thomensis"
"7499";"Penelope albipennis";"Penelope albipennis"
"7500";"Ploceus princeps";"Ploceus princeps"
"7501";"Sylvia dohrni";"Sylvia dohrni"
"7502";"Terpsiphone atrochalybeia";"Terpsiphone atrochalybeia"
"7503";"Corythornis nais";"Corythornis nais"
"7504";"Zosterops lugubris";"Zosterops lugubris"
"7505";"Zoonavena thomensis";"Zoonavena thomensis"
"7506";"Lamprotornis ornatus";"Lamprotornis ornatus"
"7507";"Crithagra rufobrunnea";"Crithagra rufobrunnea"
"7508";"Anabathmis newtonii";"Anabathmis newtonii"
"7509";"Anabathmis hartlaubii";"Anabathmis hartlaubii"
"7510";"Setophaga striata";"Setophaga striata"
"7511";"Ploceus sanctithomae";"Ploceus sanctithomae"
"7512";"Otus hartlaubi";"Otus hartlaubi"
"7513";"Amaurocichla bocagii";"Amaurocichla bocagii"
"7514";"Oriolus crassirostris";"Oriolus crassirostris"
"7515";"Thalurania ridgwayi";"Thalurania ridgwayi"
"7516";"Passerina ciris";"Passerina ciris"
"7517";"Leucosticte australis";"Leucosticte australis"
"7518";"Quiscalus quiscula";"Quiscalus quiscula"
"7519";"Hesperiphona vespertina";"Hesperiphona vespertina"
"7520";"Oreothraupis arremonops";"Oreothraupis arremonops"
"7521";"Pternistis harwoodi";"Pternistis harwoodi"
"7522";"Temnotrogon roseigaster";"Temnotrogon roseigaster"
"7523";"Trochalopteron ngoclinhense";"Trochalopteron ngoclinhense"
"7524";"Ortalis erythroptera";"Ortalis erythroptera"
"7525";"Percnostola arenarum";"Percnostola arenarum"
"7526";"Apalis chariessa";"Apalis chariessa"
"7527";"Grallaria alleni";"Grallaria alleni"
"7528";"Corvus palmarum";"Corvus palmarum"
"7529";"Hemitriccus mirandae";"Hemitriccus mirandae"
"7530";"Augastes scutatus";"Augastes scutatus"
"7531";"Tachybaptus pelzelnii";"Tachybaptus pelzelnii"
"7532";"Hypothymis coelestis";"Hypothymis coelestis"
"7533";"Zosterops oleagineus";"Zosterops oleagineus"
"7534";"Chloropsis venusta";"Chloropsis venusta"
"7535";"Malacopteron albogulare";"Malacopteron albogulare"
"7536";"Micromacronus sordidus";"Micromacronus sordidus"
"7537";"Corvus pectoralis";"Corvus pectoralis"
