"";"parsed";"ebird_itis"
"1533";"Accipiter rhodogaster";"Accipiter rhodogaster"
"1534";"Accipiter rufiventris";"Accipiter rufiventris"
"1535";"Accipiter cooperii";"Accipiter cooperii"
"1536";"Accipiter melanoleucus";"Accipiter melanoleucus"
"1537";"Accipiter meyerianus";"Accipiter meyerianus"
"1538";"Erythrotriorchis buergersi";"Erythrotriorchis buergersi"
"1539";"Megatriorchis doriae";"Megatriorchis doriae"
"1540";"Butastur teesa";"Butastur teesa"
"1541";"Buteogallus schistaceus";"Buteogallus schistaceus"
"1542";"Leucopternis melanops";"Leucopternis melanops"
"1543";"Leucopternis kuhli";"Leucopternis kuhli"
"1544";"Buteogallus lacernulatus";"Buteogallus lacernulatus"
"1545";"Pseudastur occidentalis";"Pseudastur occidentalis"
"1546";"Parabuteo unicinctus";"Parabuteo unicinctus"
"1547";"Geranoaetus melanoleucus";"Geranoaetus melanoleucus"
"1548";"Buteogallus coronatus";"Buteogallus coronatus"
"1549";"Buteo lineatus";"Buteo lineatus"
"1550";"Buteo platypterus";"Buteo platypterus"
"1551";"Parabuteo leucorrhous";"Parabuteo leucorrhous"
"1552";"Buteo swainsoni";"Buteo swainsoni"
"1553";"Buteo solitarius";"Buteo solitarius"
"1554";"Buteo jamaicensis";"Buteo jamaicensis"
"1555";"Buteo ventralis";"Buteo ventralis"
"1556";"Buteo brachypterus";"Buteo brachypterus"
"1557";"Buteo regalis";"Buteo regalis"
"1558";"Buteo rufofuscus";"Buteo rufofuscus"
"1559";"Harpyopsis novaeguineae";"Harpyopsis novaeguineae"
"1560";"Ictinaetus malaiensis";"Ictinaetus malaiensis"
"1561";"Aquila audax";"Aquila audax"
"1562";"Aquila spilogaster";"Aquila spilogaster"
"1563";"Lophaetus occipitalis";"Lophaetus occipitalis"
"1564";"Nisaetus alboniger";"Nisaetus alboniger"
"1565";"Nisaetus lanceolatus";"Nisaetus lanceolatus"
"1566";"Spizaetus ornatus";"Spizaetus ornatus"
"1567";"Spizaetus isidori";"Spizaetus isidori"
"1568";"Daptrius ater";"Daptrius ater"
"1569";"Phalcoboenus carunculatus";"Phalcoboenus carunculatus"
"1570";"Phalcoboenus megalopterus";"Phalcoboenus megalopterus"
"1571";"Phalcoboenus albogularis";"Phalcoboenus albogularis"
"1572";"Phalcoboenus australis";"Phalcoboenus australis"
"1573";"Micrastur plumbeus";"Micrastur plumbeus"
"1574";"Micrastur gilvicollis";"Micrastur gilvicollis"
