"";"ED";"ES"
"Anas sparsa";0,00148951790743838;7,42637245353514e-21
"Anas rubripes";0,00465255974441694;1,94209648143032e-05
"Anas platyrhynchos";0,0108945795917425;0,000760882769282389
"Anas poecilorhyncha";0,0010600139411239;8,00501092427742e-38
"Anas superciliosa";0,00465255974441694;3,88419296286064e-05
"Anas luzonica";0,0108945795917425;0,000760882769282389
"Anas undulata";0,0010600139411239;1,60100218485548e-37
"Anas melleri";0,00235254371181596;8,21665232369329e-11
"Anas discors";0,00148951790743838;1,48527449070703e-20
"Anas cyanoptera";0,00148951790743838;2,97054898141406e-20
"Anas smithii";0,00465255974441694;7,76838592572128e-05
"Anas platalea";0,00148951790743838;5,94109796282811e-20
"Anas rhynchotis";0,00267391630260218;5,31053875772741e-17
"Anas clypeata";0,00465255974441694;0,000155367718514426
"Anas bernieri";0,00148951790743838;1,18821959256562e-19
"Anas gibberifrons";0,00148951790743838;2,37643918513124e-19
"Anas castanea";0,00148951790743838;4,75287837026249e-19
"Anas aucklandica";0,00148951790743838;9,50575674052498e-19
"Anas bahamensis";0,00465255974441694;0,000310735437028851
"Anas erythrorhyncha";0,0010600139411239;3,20200436971097e-37
"Anas flavirostris";0,00465255974441694;0,000621470874057703
"Anas acuta";0,00342150521065227;2,80828567097631e-06
"Anas georgica";0,0295775297513677;0,0364230708025104
"Anas querquedula";0,00267391630260218;1,06210775154548e-16
"Anas formosa";0,00342150521065227;5,61657134195262e-06
"Anas crecca";0,00148951790743838;1,901151348105e-18
"Anas versicolor";0,00465255974441694;0,00124294174811541
"Anas hottentota";0,00267391630260218;2,12421550309097e-16
"Marmaronetta angustirostris";0,0064907298532538;7,13644740866906e-06
"Netta rufina";0,0064907298532538;1,42728948173381e-05
"Netta peposaca";0,0483054146776867;0,0752206803731758
"Netta erythrophthalma";0,0064907298532538;2,85457896346763e-05
"Aythya ferina";0,0064907298532538;5,70915792693525e-05
"Aythya valisineria";0,0140291468155776;0,00482425489465129
"Aythya americana";0,0064907298532538;0,000114183158538705
"Aythya collaris";0,00148951790743838;3,80230269620999e-18
"Aythya nyroca";0,0064907298532538;0,00022836631707741
"Aythya innotata";0,00267391630260218;4,24843100618193e-16
"Aythya baeri";0,00267391630260218;8,49686201236386e-16
"Aythya australis";0,0064907298532538;0,00045673263415482
"Aythya fuligula";0,0140291468155776;0,00482425489465129
"Aythya novaeseelandiae";0,0140291468155776;0,00964850978930258
"Aythya marila";0,00422251276000427;5,45852403843205e-07
"Aythya affinis";0,00267391630260218;1,69937240247277e-15
"Somateria mollissima";0,00422251276000427;1,09170480768641e-06
"Somateria spectabilis";0,00422251276000427;2,18340961537282e-06
"Somateria fischeri";0,00422251276000427;4,36681923074564e-06
"Polysticta stelleri";0,00422251276000427;8,73363846149129e-06
"Histrionicus histrionicus";0,00422251276000427;1,74672769229826e-05
"Clangula hyemalis";0,00267391630260218;3,39874480494554e-15
"Melanitta nigra";0,00267391630260218;6,79748960989109e-15
