;Rb_median;AV_median;FV_median;NNmed
Crocidura_lamottei;0,013323627;0,67669104;0,67657656;0,027996388
Crocidura_parvipes;0,013323711;0,67669279;0,67657831;0,022537492
Crocidura_katinka;0,013323646;0,676697803;0,676583322;0,023335429
Crocidura_vorax;0,013323762;0,676743051;0,676628562;0,022152708
Crocidura_macarthuri;0,013323796;0,676742862;0,676628373;0,020604913
Crocidura_harenna;0,013323814;0,676728354;0,676613867;0,021542065
Crocidura_flavescens;0,013324474;0,676728979;0,676614492;0,020287117
Crocidura_hirta;0,013324474;0,676740869;0,67662638;0,01691588
Crocidura_fulvastra;0,013324609;0,676767109;0,676652616;0,021263134
Crocidura_viaria;0,013324758;0,676767109;0,676652616;0,021179289
Crocidura_mutesae;0,013326216;0,676988494;0,676873964;0,021238996
Crocidura_goliath;0,013325941;0,676986885;0,676872355;0,024284913
Crocidura_olivieri;0,013325833;0,676991585;0,676877054;0,026951709
Crocidura_elgonius;0,013325827;0,676981399;0,67686687;0,026696514
Crocidura_crenata;0,013325586;0,676510461;0,676396012;0,020815849
Crocidura_grassei;0,01332557;0,676510461;0,676396012;0,017140144
Crocidura_pitmani;0,013325925;0,676513353;0,676398903;0,019536476
Crocidura_muricauda;0,013326026;0,676513104;0,676398654;0,023683279
Crocidura_hilliana;0,013326017;0,676523322;0,67640887;0,02408396
Crocidura_douceti;0,013326294;0,676514068;0,676399618;0,026333293
Crocidura_nimbasilvanus;0,013326297;0,676570458;0,676455999;0,019745096
Crocidura_nimbae;0,013332144;0,676568668;0,676454209;0,019137911
Crocidura_annamitensis;0,013332375;0,676569418;0,676454959;0,020903999
Crocidura_gracilipes;0,013332361;0,676565405;0,676450947;0,021031943
Crocidura_selina;0,013332301;0,676575001;0,676460541;0,023609514
Crocidura_nanilla;0,013332293;0,67657204;0,67645758;0,022840829
Crocidura_munissii;0,01335347;0,676559738;0,67644528;0,023140645
Crocidura_mdumai;0,013353552;0,676559534;0,676445077;0,023092557
Crocidura_serezkyensis;0,013353552;0,676598347;0,676483883;0,01866622
Crocidura_montis;0,013353608;0,676579089;0,676464628;0,024332497
Crocidura_macmillani;0,013350624;0,676575779;0,676461318;0,026458036
Crocidura_luna;0,013353811;0,676576366;0,676461905;0,02276414
Crocidura_monax;0,013353811;0,676578923;0,676464462;0,02712558
Crocidura_newmarki;0,013353096;0,676589364;0,676474901;0,030906274
Crocidura_denti;0,013352934;0,676656046;0,676541572;0,029255544
Crocidura_glassi;0,013352771;0,676665902;0,676551426;0,029093
Crocidura_thalia;0,013352858;0,676593236;0,676478773;0,030958338
Crocidura_baileyi;0,013352933;0,676538589;0,676424135;0,028519626
Crocidura_arabica;0,013351544;0,676538589;0,676424135;0,027762062
Crocidura_niobe;0,013351544;0,676524301;0,676409849;0,025838705
Crocidura_zimmermanni;0,013351612;0,676523961;0,676409509;0,023627757
Crocidura_canariensis;0,013351983;0,67651227;0,67639782;0,025028815
Crocidura_tarfayensis;0,013352617;0,67649798;0,676383533;0,027327499
Crocidura_sicula;0,013352617;0,676495524;0,676381077;0,035250347
Crocidura_zimmeri;0,013350099;0,67649518;0,676380733;0,048706938
Crocidura_leucodon;0,01334995;0,67649518;0,676380733;0,042421498
Crocidura_obscurior;0,013350795;0,676522362;0,67640791;0,038235627
Crocidura_sapaensis;0,013350397;0,676522362;0,67640791;0,02975412
Crocidura_whitakeri;0,013350371;0,676533923;0,67641947;0,035255379
Crocidura_pasha;0,01335028;0,676533923;0,67641947;0,030450767
Diplomesodon_pulchellum;0,013350031;0,676543583;0,676429128;0,028978142
Crocidura_horsfieldii;0,013347889;0,676543583;0,676429128;0,031845957
Crocidura_fingui;0,013347862;0,676546828;0,676432372;0,027226209
Crocidura_manengubae;0,013353996;0,67654664;0,676432184;0,036303855
Crocidura_miya;0,013353996;0,676599334;0,67648487;0,044351082
Crocidura_pergrisea;0,01335417;0,67659147;0,676477007;0,063010872
Crocidura_hikmiya;0,013353548;0,676598249;0,676483785;0,051390657
