"";"ED";"ES"
"Chauna torquata";0,00832236227345913;0,000123870058338761
"Anseranas semipalmata";0,0104955313106108;0,000585490737420932
"Dendrocygna guttata";0,00114795133505111;1,71003225751593e-41
"Dendrocygna eytoni";0,00832236227345913;0,000247740116677523
"Dendrocygna bicolor";0,0748486346889178;0,0904601297743404
"Dendrocygna arcuata";0,00363100858033553;6,62559528526528e-10
"Dendrocygna javanica";0,00832236227345913;0,000495480233355046
"Dendrocygna viduata";0,0235227779363601;0,0234930384313827
"Dendrocygna arborea";0,0049532659815852;5,4342697111213e-09
"Dendrocygna autumnalis";0,00631873248340569;0,000919509137571957
"Thalassornis leuconotus";0,00631873248340569;0,00183901827514391
"Nomonyx dominicus";0,0227691741011936;0,0105547071344659
"Oxyura jamaicensis";0,00159505335918511;5,38348857603153e-23
"Oxyura leucocephala";0,00857944806860541;7,31863421776164e-05
"Oxyura maccoa";0,00784152132534001;0,000182828389419254
"Oxyura vittata";0,00784152132534001;0,000365656778838508
"Oxyura australis";0,0055736865117196;4,52198179859328e-08
"Biziura lobata";0,0880827533911205;0,0915519627896437
"Heteronetta atricapilla";0,00652719555822408;1,56857419371568e-06
"Stictonetta naevosa";0,0100142863144692;0,000495480233355046
"Cygnus olor";0,0324158525160691;0,0371953174100663
"Cygnus atratus";0,00363100858033553;1,32511905705306e-09
"Cygnus melancoryphus";0,00631873248340569;0,00367803655028783
"Cygnus cygnus";0,00363100858033553;2,65023811410611e-09
"Cygnus buccinator";0,0100142863144692;0,000990960466710091
"Cygnus columbianus";0,00363100858033553;5,30047622821222e-09
"Coscoroba coscoroba";0,136608597800795;0,1582827725269
"Anser cygnoides";0,00363100858033553;1,06009524564244e-08
"Anser brachyrhynchus";0,00753619535767406;0,00311399730145822
"Anser fabalis";0,0135073928658354;0,00412143611941205
"Anser albifrons";0,00753619535767406;0,00622799460291645
"Anser erythropus";0,00363100858033553;2,12019049128489e-08
"Anser anser";0,0317846027067377;0,0313934481874959
"Anser indicus";0,00363100858033553;4,24038098256978e-08
"Chen caerulescens";0,0122567316156848;0,00555795216147386
"Chen rossii";0,00363100858033553;8,48076196513956e-08
