"";"parsed";"mdd_itis"
"3587";"Aconaemys fuscus";"Aconaemys fuscus"
"3588";"Aconaemys sagei";"Aconaemys sagei"
"3589";"Ctenomys australis";"Ctenomys australis"
"3590";"Dasyprocta punctata";"Dasyprocta punctata"
"3591";"Lagidium wolffsohni";"Lagidium wolffsohni"
"3592";"Lagostomus maximus";"Lagostomus maximus"
"3593";"Octodon degus";"Octodon degus"
"3594";"Octodon lunatus";"Octodon lunatus"
"3595";"Octodon pacificus";"Octodon pacificus"
"3596";"Octomys mimax";"Octomys mimax"
"3597";"Spalacopus cyanus";"Spalacopus cyanus"
"3598";"Tympanoctomys barrerae";"Tympanoctomys barrerae"
"3599";"Lagostomus crassus";"Lagostomus crassus"
"3600";"Tympanoctomys loschalchalerosorum";"Tympanoctomys loschalchalerosorum"
"3601";"Rhipidomys ipukensis";"Rhipidomys ipukensis"
"3602";"Grammomys brevirostris";"Grammomys brevirostris"
"3603";"Otomys helleri";"Otomys helleri"
"3604";"Otomys thomasi";"Otomys thomasi"
"3605";"Otomys yaldeni";"Otomys yaldeni"
"3606";"Cryptotis venezuelensis";"Cryptotis venezuelensis"
"3607";"Rucervus schomburgki";"Rucervus schomburgki"
"3608";"Vulpes bengalensis";"Vulpes bengalensis"
